,secID,code
0,000001.XSHE,1
1,000002.XSHE,2
2,000003.XSHE,3
3,000004.XSHE,4
4,000005.XSHE,5
5,000006.XSHE,6
6,000007.XSHE,7
7,000008.XSHE,8
8,000009.XSHE,9
9,000010.XSHE,10
10,000011.XSHE,11
11,000012.XSHE,12
12,000013.XSHE,13
13,000014.XSHE,14
14,000015.XSHE,15
15,000016.XSHE,16
16,000017.XSHE,17
17,000018.XSHE,18
18,000019.XSHE,19
19,000020.XSHE,20
20,000021.XSHE,21
21,000022.XSHE,22
22,000023.XSHE,23
23,000024.XSHE,24
24,000025.XSHE,25
25,000026.XSHE,26
26,000027.XSHE,27
27,000028.XSHE,28
28,000029.XSHE,29
29,000030.XSHE,30
30,000031.XSHE,31
31,000032.XSHE,32
32,000033.XSHE,33
33,000034.XSHE,34
34,000035.XSHE,35
35,000036.XSHE,36
36,000037.XSHE,37
37,000038.XSHE,38
38,000039.XSHE,39
39,000040.XSHE,40
40,000042.XSHE,42
41,000043.XSHE,43
42,000045.XSHE,45
43,000046.XSHE,46
44,000047.XSHE,47
45,000048.XSHE,48
46,000049.XSHE,49
47,000050.XSHE,50
48,000055.XSHE,55
49,000056.XSHE,56
50,000058.XSHE,58
51,000059.XSHE,59
52,000060.XSHE,60
53,000061.XSHE,61
54,000062.XSHE,62
55,000063.XSHE,63
56,000065.XSHE,65
57,000066.XSHE,66
58,000068.XSHE,68
59,000069.XSHE,69
60,000070.XSHE,70
61,000078.XSHE,78
62,000088.XSHE,88
63,000089.XSHE,89
64,000090.XSHE,90
65,000096.XSHE,96
66,000099.XSHE,99
67,000100.XSHE,100
68,000150.XSHE,150
69,000151.XSHE,151
70,000153.XSHE,153
71,000155.XSHE,155
72,000156.XSHE,156
73,000157.XSHE,157
74,000158.XSHE,158
75,000159.XSHE,159
76,000166.XSHE,166
77,000301.XSHE,301
78,000333.XSHE,333
79,000338.XSHE,338
80,000400.XSHE,400
81,000401.XSHE,401
82,000402.XSHE,402
83,000403.XSHE,403
84,000404.XSHE,404
85,000405.XSHE,405
86,000406.XSHE,406
87,000407.XSHE,407
88,000408.XSHE,408
89,000409.XSHE,409
90,000410.XSHE,410
91,000411.XSHE,411
92,000412.XSHE,412
93,000413.XSHE,413
94,000415.XSHE,415
95,000416.XSHE,416
96,000417.XSHE,417
97,000418.XSHE,418
98,000419.XSHE,419
99,000420.XSHE,420
100,000421.XSHE,421
101,000422.XSHE,422
102,000423.XSHE,423
103,000425.XSHE,425
104,000426.XSHE,426
105,000428.XSHE,428
106,000429.XSHE,429
107,000430.XSHE,430
108,000488.XSHE,488
109,000498.XSHE,498
110,000501.XSHE,501
111,000502.XSHE,502
112,000503.XSHE,503
113,000504.XSHE,504
114,000505.XSHE,505
115,000506.XSHE,506
116,000507.XSHE,507
